ARG seed 0
ARG numthreads 16
ARG program test-and-set.s
ARG interrupt frequency 10
ARG interrupt randomness False
ARG procsched 
ARG argv 
ARG load address 1000
ARG memsize 128
ARG memtrace 
ARG regtrace 
ARG cctrace False
ARG printstats True
ARG verbose False


icount        Thread 0                Thread 1                Thread 2                Thread 3                Thread 4                Thread 5                Thread 6                Thread 7                Thread 8                Thread 9                Thread 10                Thread 11                Thread 12                Thread 13                Thread 14                Thread 15         

     0      0 1000 mov  $1, %ax
     1 1001 xchg %ax, mutex
     2 1002 test $0, %ax
     3 1003 jne  .acquire
     4 1004 mov  count, %ax
     5 1005 add  $1, %ax
     6 1006 mov  %ax, count
     7 1007 mov  $0, mutex
     8 1008 sub  $1, %bx
     9 1009 test $0, %bx
    10 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
    10                          1000 mov  $1, %ax
    11                          1001 xchg %ax, mutex
    12                          1002 test $0, %ax
    13                          1003 jne  .acquire
    14                          1004 mov  count, %ax
    15                          1005 add  $1, %ax
    16                          1006 mov  %ax, count
    17                          1007 mov  $0, mutex
    18                          1008 sub  $1, %bx
    19                          1009 test $0, %bx
    20 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
    20                                                   1000 mov  $1, %ax
    21                                                   1001 xchg %ax, mutex
    22                                                   1002 test $0, %ax
    23                                                   1003 jne  .acquire
    24                                                   1004 mov  count, %ax
    25                                                   1005 add  $1, %ax
    26                                                   1006 mov  %ax, count
    27                                                   1007 mov  $0, mutex
    28                                                   1008 sub  $1, %bx
    29                                                   1009 test $0, %bx
    30 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
    30                                                                            1000 mov  $1, %ax
    31                                                                            1001 xchg %ax, mutex
    32                                                                            1002 test $0, %ax
    33                                                                            1003 jne  .acquire
    34                                                                            1004 mov  count, %ax
    35                                                                            1005 add  $1, %ax
    36                                                                            1006 mov  %ax, count
    37                                                                            1007 mov  $0, mutex
    38                                                                            1008 sub  $1, %bx
    39                                                                            1009 test $0, %bx
    40 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
    40                                                                                                     1000 mov  $1, %ax
    41                                                                                                     1001 xchg %ax, mutex
    42                                                                                                     1002 test $0, %ax
    43                                                                                                     1003 jne  .acquire
    44                                                                                                     1004 mov  count, %ax
    45                                                                                                     1005 add  $1, %ax
    46                                                                                                     1006 mov  %ax, count
    47                                                                                                     1007 mov  $0, mutex
    48                                                                                                     1008 sub  $1, %bx
    49                                                                                                     1009 test $0, %bx
    50 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
    50                                                                                                                              1000 mov  $1, %ax
    51                                                                                                                              1001 xchg %ax, mutex
    52                                                                                                                              1002 test $0, %ax
    53                                                                                                                              1003 jne  .acquire
    54                                                                                                                              1004 mov  count, %ax
    55                                                                                                                              1005 add  $1, %ax
    56                                                                                                                              1006 mov  %ax, count
    57                                                                                                                              1007 mov  $0, mutex
    58                                                                                                                              1008 sub  $1, %bx
    59                                                                                                                              1009 test $0, %bx
    60 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
    60                                                                                                                                                       1000 mov  $1, %ax
    61                                                                                                                                                       1001 xchg %ax, mutex
    62                                                                                                                                                       1002 test $0, %ax
    63                                                                                                                                                       1003 jne  .acquire
    64                                                                                                                                                       1004 mov  count, %ax
    65                                                                                                                                                       1005 add  $1, %ax
    66                                                                                                                                                       1006 mov  %ax, count
    67                                                                                                                                                       1007 mov  $0, mutex
    68                                                                                                                                                       1008 sub  $1, %bx
    69                                                                                                                                                       1009 test $0, %bx
